artifact_id,original_classification,corrected_classification,csbs_correct,false_positive,missed_csbs,caption_quality_score,caption_accuracy,blip_used
meta:1850286442558227,0,100,No,Yes,No,5,Mostly Accurate,Yes
meta:2578678172470623,0,100,No,Yes,No,5,Very Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE3OTE5NTU3MjY4MDE2MzIy,0,100,No,Yes,No,5,Mostly Accurate,Yes
meta:1926282454852976,0,100,No,Yes,No,5,Very Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE4MTIyMjAwMzk2NDY5OTAx,0,100,No,Yes,No,5,Very Accurate,Yes
meta:122233403408043749,0,0,Yes,No,No,6,Mostly Accurate,Yes
meta:6643076032431093,0,0,Yes,No,No,8,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE4MDI3NjM5MjA2NjQ2MTQ3,0,100,No,Yes,No,8,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE4MDk4NTAzMzY5NjA2NTIw,0,100,No,Yes,No,8,Partially Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE4MTIzODIzODc2NDU2Njg5,0,100,No,Yes,No,8,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE3OTg5NDA0MDY4ODM1NTY5,0,100,No,Yes,No,8,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE4MTE0Njc0Njg5NTA3MzI0,0,100,No,Yes,No,8,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE4MTI1MDM5MTI1NDQ3MTg2,0,100,No,Yes,No,1,Inaccurate,Yes
meta:aWdfbWVkaWFfM3B2OjE4MDc4MjYwODI0ODcwNzQ4,0,0,Yes,No,No,6,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE3OTczMDI5OTEyOTEzNDU2,0,100,No,Yes,No,6,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE4MTk1NDk3Mzg2MzA4NTc3,0,100,No,Yes,No,7,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE4MDc1MjExMDcyODE4MTUx,0,0,Yes,No,No,7,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE4MDY2MzgwNDQxMTM1MzIz,0,100,No,Yes,No,7,Inaccurate,Yes
meta:aWdfbWVkaWFfM3B2OjE4Mzk2MDAxNDc0MTg3ODgy,0,100,No,Yes,No,7,Very Accurate,Yes
meta:1286336886172419,0,100,No,Yes,No,7,Very Accurate,Yes
meta:24182856068050033,0,100,No,Yes,No,7,Very Accurate,Yes
meta:206150392562697,0,100,No,Yes,No,7,Very Accurate,Yes
meta:122192726570285315,0,100,No,Yes,No,7,Very Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE4MDc3NjY0NTExOTA5Mjc5,0,100,No,Yes,No,7,Very Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE3ODUzNDA2ODE1NDU4NzI1,0,100,No,Yes,No,7,Very Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE4MDc1ODI0Mjg0ODA2MzU1,0,100,No,Yes,No,7,Very Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE3OTI2NzY4NDg3OTgwODgx,0,100,No,Yes,No,7,Very Accurate,Yes
meta:1281488466671718,0,100,No,Yes,No,7,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE3OTIzMzUzOTY1OTk3OTc1,0,0,Yes,No,No,7,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE4MzA5MTMwMjYxMjQ0MzAy,0,0,Yes,No,No,7,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE4MDczOTI3NTgwMDg1MDI3,0,100,No,Yes,No,7,Very Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE4NDk4MDI4MjUyMDU4MjI3,0,0,Yes,No,No,7,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE3ODQyMjkzMzE4NTQ0NTkz,0,100,No,Yes,No,7,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE4MDM4OTY3NDY3MjI0NDAy,0,100,No,Yes,No,7,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE4MTEwMjMyODA4NDY3ODE1,0,100,No,Yes,No,7,Partially Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE3OTQyOTc2MzQ1MDQyMDgz,0,100,No,Yes,No,7,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE3ODk5ODc1OTkwMjE3ODcz,0,0,Yes,No,No,7,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE3OTAyMjQ2NzMxMjQ2NjYz,0,0,Yes,No,No,7,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE4MTE4NzkyMzY5NDkwNDk0,0,100,No,Yes,No,7,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE3OTEyMDE1MzQzMTY4MjY0,0,100,No,Yes,No,7,Partially Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE4MDM1NzAxMTAwNDQyNTY2,0,0,Yes,No,No,7,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE4MDcwOTI3MjYyMDc4NDM1,0,100,No,Yes,No,7,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE3OTU1ODk4ODI5OTc5NjM1,0,100,No,Yes,No,7,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE3ODc2NzU4ODY5MzYzMDkw,0,100,No,Yes,No,7,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE4MDMzODkzMzU0MzQ0NDA0,0,0,Yes,No,No,7,Mostly Accurate,Yes
meta:122168153618530844,0,100,No,Yes,No,7,Mostly Accurate,Yes
meta:669387876160516,0,100,No,Yes,No,7,Mostly Accurate,Yes
meta:1333803378107931,0,100,No,Yes,No,7,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE4MDc3NDc3ODc4NzY2NDkx,0,100,No,Yes,No,7,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE3OTQyOTQ4MzQ2MDE1Mzg2,0,100,No,Yes,No,7,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE3OTQyOTQ4MzQ2MDE1Mzg2,0,100,No,Yes,No,7,Mostly Accurate,Yes
